docname,from,to,pre,keyword,post,pattern
text6389,161,161,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6389,604,604,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6389,936,936,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6389,1253,1253,Getränke Wahlpflichtkurs Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6390,55,55,Getränke Wahlpflichtmodul Vertiefung,Ernährung,und Lebensmittel Typus,*ernährung
text6390,161,161,Vertiefung Getränke Wahlpflichtkurs,Ernährung,und Lebensmittel Typus,*ernährung
text6390,591,591,Vertiefung Getränke Wahlpflichtkurs,Ernährung,und Lebensmittel Typus,*ernährung
text6390,973,973,Vertiefung Getränke Wahlpflichtkurs,Ernährung,und Lebensmittel Typus,*ernährung
text6390,1310,1310,Vertiefung Getränke Wahlpflichtkurs,Ernährung,und Lebensmittel Typus,*ernährung
text6391,58,58,Lebensmittel Wahlpflichtmodul Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6391,166,166,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6391,535,535,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6391,945,945,Vertiefung Getränke und,Ernährung,Typus Core course,*ernährung
text6391,1255,1255,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6392,55,55,Lebensmittel Wahlpflichtmodul Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6392,157,157,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6392,525,525,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6392,839,839,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6392,1248,1248,Lebensmittel Wahlpflichtkurs Vertiefung,Ernährung,und Getränke Typus,*ernährung
text6396,53,53,Molekularbiologische Lebensmittel analytik,Nachhaltigkeit,der Wertschöpfungskette Fle,nachhaltig*
text6396,197,197,Status Pflichtkurs Vertiefung,Ernährung,Wahlpflichtkurs Vertiefung Getränke,*ernährung
